D-loss	G-loss	AUC	AP
1.366586	0.694195	0.530958	0.043240
1.370582	0.694210	0.331254	0.029630
1.347111	0.694348	0.661944	0.058080
1.349968	0.695087	0.496488	0.039025
1.330664	0.695700	0.684652	0.061868
1.358112	0.694287	0.715590	0.069466
1.370960	0.694122	0.769857	0.090073
1.324494	0.694208	0.794139	0.122770
1.336438	0.694201	0.769864	0.094093
1.325879	0.694292	0.713722	0.069011
1.337315	0.694114	0.460707	0.036375
1.355983	0.694047	0.625071	0.053436
1.385278	0.694018	0.491902	0.038520
1.362313	0.694113	0.383313	0.032071
1.366399	0.694319	0.389292	0.032527
1.406885	0.695698	0.240468	0.026327
1.347050	0.696387	0.705406	0.073593
1.386148	0.695100	0.771373	0.119590
1.309300	0.694087	0.586637	0.048279
1.308670	0.696540	0.637059	0.056378
1.343474	0.694118	0.749143	0.115594
1.358613	0.695291	0.632051	0.063984
1.323674	0.694718	0.687822	0.099023
1.340482	0.694063	0.667462	0.081436
1.344267	0.694092	0.732467	0.123700
1.365749	0.693961	0.483510	0.038270
1.322706	0.695148	0.427860	0.034449
1.385965	0.694016	0.325219	0.029139
1.404433	0.694416	0.417341	0.033862
1.365759	0.694037	0.542758	0.043195
1.367784	0.693871	0.640659	0.056381
1.356783	0.693835	0.727113	0.074433
1.341465	0.693801	0.687148	0.065470
1.348949	0.693814	0.476843	0.038008
1.359453	0.693928	0.604921	0.051132
1.354577	0.693966	0.323867	0.029157
1.344132	0.694468	0.334104	0.029630
1.396170	0.694077	0.427242	0.034630
1.381538	0.694007	0.224894	0.025881
1.342750	0.695087	0.589641	0.050090
1.402302	0.694872	0.210104	0.025412
1.335670	0.695294	0.700819	0.071949
1.356526	0.695202	0.750074	0.106109
1.338654	0.693839	0.742681	0.106879
1.290335	0.694630	0.730345	0.093753
1.316085	0.693780	0.643138	0.060207
1.327792	0.693765	0.641123	0.060798
1.325760	0.693976	0.211113	0.025782
1.317213	0.696384	0.747773	0.099006
1.426726	0.701038	0.199422	0.025241
1.301038	0.700184	0.708470	0.071365
1.400192	0.695226	0.549563	0.044749
1.298076	0.695350	0.698244	0.068026
1.360139	0.694096	0.749410	0.086642
1.356534	0.694153	0.621900	0.052527
1.310259	0.695602	0.802469	0.151519
1.352447	0.696526	0.668641	0.059132
1.304062	0.698216	0.825153	0.188670
1.366540	0.698450	0.602428	0.049560
1.271966	0.700857	0.835456	0.174418
1.345192	0.696690	0.381329	0.032454
1.306721	0.700267	0.720478	0.074164
1.369330	0.695832	0.561769	0.045232
1.312605	0.694458	0.701843	0.069071
1.341051	0.694075	0.726985	0.075570
1.347842	0.694097	0.586979	0.047688
1.354662	0.695039	0.693368	0.065874
1.383608	0.695325	0.247187	0.026219
1.324447	0.697191	0.724893	0.074130
1.398412	0.697025	0.425936	0.035553
