Last AUC	Last AP	Last Pr	Last Re	Best Epoch	Best AUC	Best AP	Best Pr	Best Re
disc_hidden: 16.000000								
0.7553	0.248081	0.015	0.013216	2-4	0.928819	0.530282	0.535	0.471366
0.645092	0.138793	0.005	0.004405	1-2	0.848997	0.567609	0.74	0.651982
0.642835	0.137052	0	0	1-1	0.918143	0.529253	0.63	0.555066
0.692009	0.146339	0.02	0.017621	1-2	0.959291	0.725664	0.815	0.718062
0.660491	0.14184	0	0	3-1	0.908968	0.449534	0.285	0.251101
boosted: 5.000000								
disc_hidden: 32.000000								
0.696528	0.174714	0.01	0.008811	1-0	0.913472	0.52987	0.595	0.524229
0.205704	0.058784	0	0	2-0	0.893933	0.631291	0.735	0.647577
0.69059	0.155399	0.015	0.013216	1-5	0.913939	0.507693	0.46	0.405286
0.830167	0.339514	0.14	0.123348	2-4	0.95973	0.686078	0.79	0.696035
0.887633	0.743306	0.805	0.709251	4-1	0.893428	0.647425	0.795	0.700441
boosted: 5.000000								
disc_hidden: 64.000000								
0.498856	0.103106	0.015	0.013216	4-1	0.895965	0.59144	0.665	0.585903
0.469898	0.090242	0.01	0.008811	0-3	0.840928	0.463173	0.65	0.572687
0.910876	0.475711	0.385	0.339207	1-1	0.938594	0.640872	0.775	0.682819
0.949907	0.619577	0.665	0.585903	3-3	0.967276	0.647498	0.735	0.647577
